Fuel Production,,,,,,,,,,,Reactors & Power,,,Waste,,,,,
,Cummulative SWU - fueltype,,,Total SWU,Consumed U Ore,,,Consumed U,,,operating reactors,,,sum reactor wet storage -Fueltype,,,sum reactor dry storage-Fueltype,,
,SWU,,,SWU,Kt,,,Kt,,,reactor,,,Kt,,,Kt,,
,1,2,3,,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,154332000000,0,0,154332245.2,263.3135901,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,237672000000,0,0,273218468.2,339.6745312,5.052642857,0,32.90530303,3.368428571,0,350,0,0,0,0,0,0,0,0
2009,324098000000,0,0,396126778.4,418.6686082,8.554035714,0,41.53380471,6.8255,0,364,38,0,7.312289562,1.684214285,0,0,0,0
2010,413610000000,0,0,523992618.4,500.2958211,12.27703571,0,50.45479798,10.45985714,0,378,39,0,14.91707071,5.096964284,0,0,0,0
2011,506210000000,0,0,655880545.6,584.55617,16.04435714,0,59.66828283,14.18285714,0,392,41,0,22.81434343,8.642678568,0,0,0,0
2012,601896000000,0,0,792726002.5,671.4496547,20.03328571,0,69.17425926,18.08314286,0,406,42,0,31.00410774,12.32135714,0,0,0,0
2013,700668000000,0,0,933593546.7,760.9762753,24.06653571,0,78.97272727,22.07207143,0,420,44,0,39.48636364,16.13299999,0,0,0,0
2014,802528000000,0,0,1079418621,853.1360319,28.32139286,0,89.06368687,26.23828571,0,434,45,0,42.77689394,18.81444642,0,5.484217172,1.263160714,0
2015,907474000000,0,0,1229265782,947.9289243,32.62057143,0,99.44713805,30.49314286,0,448,47,0,44.31247475,19.91140178,0,13.01587542,4.243776784,0
2016,1015510000000,0,0,1384070473,1045.354953,37.14135714,0,110.1230808,34.92528571,0,462,48,0,45.84805556,20.60946428,0,20.84002525,7.756249997,0
2017,1126630000000,0,0,1542897251,1145.414117,41.70646429,0,121.0915152,39.44607143,0,476,50,0,47.38363636,21.30752678,0,28.95666667,11.4016875,0
2018,1240830000000,0,0,1706681558,1248.106417,46.49317857,0,132.3524411,44.14414286,0,490,51,0,48.91921717,22.00558928,0,37.36579966,15.18008928,0
2019,1358120000000,0,0,1874487953,1353.431853,51.32421429,0,143.9058586,48.93085714,0,504,53,0,50.45479798,22.70365178,0,46.06742424,19.09145535,0
2020,1478500000000,0,0,2047251878,1461.390425,56.37685714,0,155.7517677,53.89485714,0,518,54,0,51.99037879,23.40171428,0,55.0615404,23.1357857,0
2021,1601970000000,0,0,2224037890,1571.982133,61.47382143,0,167.8901684,58.9475,0,532,56,0,53.5259596,24.09977678,0,64.34814815,27.31308035,0
2022,1728520000000,0,0,2405781432,1685.206976,66.79239286,0,180.3210606,64.17742857,0,546,57,0,55.0615404,24.79783928,0,73.92724747,31.62333927,0
2023,1858160000000,0,0,2591547061,1801.064956,72.15528571,0,193.0444444,69.496,0,560,59,0,56.59712121,25.49590178,0,83.79883838,36.06656249,0
2024,1990890000000,0,0,2782270220,1919.556072,77.73978571,0,206.0603199,74.99185714,0,574,60,0,58.13270202,26.19396428,0,93.96292088,40.64274998,0
2025,2126700000000,0,0,2977015466,2040.680323,83.36860714,0,219.3686869,80.57635714,0,588,62,0,59.66828283,26.89202677,0,104.4194949,45.35190177,0
2026,2265600000000,0,0,3176718241,2164.43771,89.21903571,0,232.9695455,86.33814286,0,602,63,0,61.20386364,27.59008927,0,115.1685606,50.19401784,0
2027,2407580000000,0,0,3380443104,2290.828234,95.11378571,0,246.8628956,92.18857143,0,616,65,0,62.73944444,28.28815177,0,126.2101178,55.16909819,0
2028,2552660000000,0,0,3589125497,2419.851893,101.2301429,0,261.0487374,98.21628571,0,630,66,0,64.27502525,28.98621427,0,137.5441667,60.27714283,0
2029,2700810000000,0,0,3801829976,2551.508688,107.3908214,0,275.5270707,104.3326429,0,644,68,0,65.81060606,29.68427677,0,149.1707071,65.51815176,0
2030,2862640000000,0,0,4029139326,2703.854408,113.6401429,0,290.2978956,110.5376429,0,658,69,0,67.34618687,30.38233927,0,161.0897391,70.89212497,0
2031,3032850000000,0,0,4268568482,2863.347211,120.377,0,307.6175758,117.0972143,0,696,70,0,68.88176768,31.03608034,0,173.3012626,76.39906247,0
2032,3210990000000,0,0,4519676493,3029.234773,127.4684286,0,325.7311616,124.0113571,0,734,74,0,70.91876263,31.77846427,0,185.8052778,82.03896425,0
2033,3397730000000,0,0,4783124786,3202.833661,134.9144286,0,344.544638,131.2800714,0,771,78,0,73.45717172,32.74245534,0,198.6017845,87.81183032,0
2034,3592410000000,0,0,5058251934,3382.827308,142.715,0,364.2251431,138.9033571,0,809,82,0,76.47610269,33.92805356,0,211.6907828,93.71766068,0
2035,3795690000000,0,0,5345719363,3570.532281,150.8701429,0,384.6055387,146.8812143,0,846,86,0,79.99644781,35.33525891,0,225.0722727,99.75645532,0
2036,4007350000000,0,0,5645306598,3765.384338,159.3798571,0,405.852963,155.2136429,0,884,90,0,83.99731481,36.99731249,0,238.7462542,105.8949732,0
2037,4226940000000,0,0,5956572689,3966.631153,168.2441429,0,427.8942929,163.9006429,0,922,94,0,88.12353535,38.82557141,0,253.0887879,112.2218571,0
2038,4455130000000,0,0,6280179060,4175.589295,177.463,0,450.6355135,172.9422143,0,959,98,0,92.24975589,40.68707141,0,268.2252273,118.8700714,0
2039,4691260000000,0,0,6615464288,4390.942196,187.0364286,0,474.2437626,182.3383571,0,997,102,0,96.37075337,42.54857141,0,284.1399032,125.8728571,0
2040,4935990000000,0,0,6963089796,4614.006423,196.9644286,0,498.5519024,192.0890714,0,1034,106,0,100.4969739,44.41007141,0,300.8432618,133.2302142,0
2041,5189090000000,0,0,7322835110,4844.217733,207.247,0,523.7270707,202.1943571,0,1072,110,0,104.6179714,46.27157141,0,318.3248569,140.9421428,0
2042,5450130000000,0,0,7694259280,5080.823802,217.8841429,0,549.6961448,212.6542143,0,1110,114,0,108.7441919,48.13307141,0,336.5951347,149.0086428,0
2043,5719770000000,0,0,8078023731,5325.141197,228.8758571,0,576.3651094,223.4686429,0,1147,118,0,112.8704125,49.99457141,0,355.6593182,157.4297142,0
2044,5997350000000,0,0,8473467038,5575.853351,240.2221429,0,603.9011027,234.6376429,0,1185,122,0,116.9914099,51.85607141,0,375.5017382,166.2053571,0
2045,6283530000000,0,0,8881250625,5834.276832,251.923,0,632.1369865,246.1612143,0,1222,126,0,121.1176305,53.71757141,0,396.1328409,175.3355714,0
2046,6578080000000,0,0,9301154018,6099.847395,263.9784286,0,661.239899,258.0393571,0,1260,130,0,125.2386279,55.57907141,0,417.5421801,184.8203571,0
2047,7034900000000,0,0,9887068513,6635.126308,276.3884286,0,691.1367172,270.2720714,0,1298,134,0,129.3648485,57.44057141,0,439.740202,194.6597142,0
2048,7371460000000,0,0,10392002674,6941.7926,294.2056429,0,752.8106566,286.2277857,0,1335,138,0,160.9121549,59.3020714,0,462.7321296,204.8536428,0
