Fuel Production,,,,,,,,,,,Reactors & Power,,,Waste,,,,,
,Cummulative SWU - fueltype,,,Total SWU,Consumed U Ore,,,Consumed U,,,operating reactors,,,sum reactor wet storage -Fueltype,,,sum reactor dry storage-Fueltype,,
,SWU,,,SWU,Kt,,,Kt,,,reactor,,,Kt,,,Kt,,
,1,2,3,,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,154332000000,0,0,154332245.2,263.3135901,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,235908000000,0,0,271454671.1,336.665233,5.052642857,0,32.90530303,3.368428571,0,350,0,0,0,0,0,0,0,0
2009,319688000000,0,0,391717285.7,411.8976873,8.554035714,0,41.15774411,6.8255,0,360,38,0,7.312289562,1.684214285,0,0,0,0
2010,405232000000,0,0,514679139.8,488.2586285,12.14407143,0,49.61910774,10.37121429,0,370,39,0,14.83350168,5.096964284,0,0,0,0
2011,493202000000,0,0,641001657.3,567.0646243,15.82275,0,58.19537879,14.00557143,0,379,40,0,22.56363636,8.598357139,0,0,0,0
2012,583376000000,0,0,770464363.6,647.7514316,19.59007143,0,67.05369529,17.72857143,0,389,41,0,30.48180135,12.18839285,0,0,0,0
2013,675755000000,0,0,903067258.5,730.3190502,23.44603571,0,76.12093434,21.54021429,0,399,42,0,38.60888889,15.86707142,0,0,0,0
2014,769897000000,0,0,1038369393,814.0151556,27.39064286,0,85.39709596,25.4405,0,409,43,0,41.46068182,18.37123214,0,5.484217172,1.263160714,0
2015,866465000000,0,0,1177032191,900.1563158,31.42389286,0,94.78816498,29.42942857,0,418,44,0,42.536633,19.24658035,0,12.95319865,4.243776784,0
2016,965238000000,0,0,1318835177,988.1782873,35.54578571,0,104.4612795,33.507,0,428,45,0,43.59169192,19.71195535,0,20.63110269,7.723008925,0
2017,1066220000000,0,0,1463778353,1078.08107,39.75632143,0,114.3433165,37.67321429,0,438,46,0,44.66242003,20.17733035,0,28.5022601,11.29088392,0
2018,1168960000000,0,0,1611420767,1169.11234,44.0555,0,124.4342761,41.92807143,0,448,47,0,45.73837121,20.64270535,0,36.577117,14.94740178,0
2019,1274120000000,0,0,1762423846,1262.588664,48.44332143,0,134.6401431,46.27157143,0,457,48,0,46.81432239,21.10808035,0,44.86089646,18.69256249,0
2020,1381490000000,0,0,1916567113,1357.9458,52.91978571,0,145.1280556,50.70371429,0,467,49,0,47.86938131,21.57345535,0,53.35359848,22.52636606,0
2021,1491070000000,0,0,2073850568,1455.183747,57.48489286,0,155.8248906,55.2245,0,477,50,0,48.94010943,22.03883035,0,62.03955387,26.44881249,0
2022,1602410000000,0,0,2233833263,1553.550181,62.13864286,0,166.7306481,59.83392857,0,487,51,0,50.01606061,22.50420535,0,70.92920875,30.45990177,0
2023,1716170000000,0,0,2397176622,1654.36167,66.88103571,0,177.7513131,64.532,0,496,52,0,51.09201178,22.96958035,0,80.0277862,34.55963391,0
2024,1832140000000,0,0,2563660169,1757.05397,71.71207143,0,189.0540236,69.31871429,0,506,53,0,52.14707071,23.43495535,0,89.3352862,38.74800891,0
2025,1950320000000,0,0,2733283905,1861.627082,76.63175,0,200.5656566,74.19407143,0,516,54,0,53.21779882,23.90033035,0,98.83603956,43.02502677,0
2026,2070260000000,0,0,2905606881,1967.32868,81.64007143,0,212.2862121,79.15807143,0,526,55,0,54.29375,24.36570535,0,108.5404924,47.39068748,0
2027,2192620000000,0,0,3081290519,2075.475333,86.73703571,0,224.1216751,84.21071429,0,535,56,0,55.36970118,24.83108035,0,118.4538678,51.84499105,0
2028,2317190000000,0,0,3260114347,2185.502798,91.92264286,0,236.2391835,89.352,0,545,57,0,56.4247601,25.29645535,0,128.5761658,56.38793748,0
2029,2443520000000,0,0,3441637414,2296.658749,97.19689286,0,248.5656145,94.58192857,0,555,58,0,57.49548822,25.76183035,0,138.8917172,61.01952676,0
2030,2576250000000,0,0,3630489688,2417.030676,102.5597857,0,261.0069529,99.9005,0,564,59,0,58.57143939,26.22720535,0,149.410968,65.7397589,0
2031,2713160000000,0,0,3825401865,2540.976144,108.1442857,0,274.5764731,105.3963571,0,583,60,0,59.62649832,26.69258035,0,160.1391414,70.5486339,0
2032,2854260000000,0,0,4026373944,2668.495154,113.9060714,0,288.5429461,111.0695,0,602,62,0,60.86958754,27.20227677,0,171.0762374,75.44615176,0
2033,2999560000000,0,0,4233405927,2799.587706,119.8451429,0,302.9063721,116.9199286,0,621,64,0,62.31637626,27.80061606,0,182.2065867,80.43231247,0
2034,3148600000000,0,0,4446056863,2933.501475,125.9615,0,317.6667508,122.9476429,0,640,66,0,63.95641835,28.4875982,0,193.5406355,85.50711604,0
2035,3302050000000,0,0,4664988176,3071.553028,132.2551429,0,332.7300673,129.1526429,0,658,68,0,65.78449074,29.2632232,0,205.0836069,90.67056246,0
2036,3459690000000,0,0,4889979393,3213.178123,138.7260714,0,348.2634596,135.5349286,0,677,70,0,67.79537037,30.12749106,0,216.8198316,95.92265175,0
2037,3621520000000,0,0,5121030512,3358.37676,145.3742857,0,364.1938047,142.0945,0,696,72,0,69.85848064,31.0471607,0,228.9007786,101.296625,0
2038,3787530000000,0,0,5358141534,3507.148939,152.1997857,0,380.5211027,148.8313571,0,715,74,0,71.92159091,31.9779107,0,241.3786785,106.8368035,0
2039,3957300000000,0,0,5600871510,3658.742334,159.2025714,0,397.2453535,155.7455,0,734,76,0,73.98470118,32.9086607,0,254.2535311,112.5542678,0
2040,4131470000000,0,0,5849881863,3814.473515,166.3826429,0,414.2725421,162.8369286,0,752,78,0,76.04781145,33.8394107,0,267.5253367,118.4490178,0
2041,4309840000000,0,0,6104952119,3973.778237,173.74,0,431.7698064,170.1056429,0,771,80,0,78.10569865,34.7701607,0,281.1784259,124.5210535,0
2042,4492390000000,0,0,6366082277,4136.6565,181.2746429,0,449.6640236,177.5516429,0,790,82,0,80.16880892,35.7009107,0,295.2232449,130.7703749,0
2043,4679130000000,0,0,6633272339,4303.108305,188.9865714,0,467.9551936,185.1749286,0,809,84,0,82.23191919,36.6316607,0,309.6650168,137.1969821,0
2044,4869620000000,0,0,6906081354,4472.381327,196.8757857,0,486.6433165,192.9755,0,828,86,0,84.29502946,37.5624107,0,324.5037416,143.8008749,0
2045,5064520000000,0,0,7185170747,4645.792135,204.9422857,0,505.6343771,200.9533571,0,846,88,0,86.35813973,38.4931607,0,339.7394192,150.5820535,0
2046,5263610000000,0,0,7470320043,4822.776483,213.1860714,0,525.0955135,209.1085,0,865,90,0,88.41602694,39.4239107,0,355.3563805,157.5405178,0
2047,5621220000000,0,0,7915861486,5266.647964,221.6071429,0,544.9536027,217.4409286,0,884,92,0,90.47913721,40.3546607,0,371.3650715,164.6762678,0
2048,5852390000000,0,0,8272378422,5474.759741,235.2581429,0,596.2858754,229.3190714,0,903,94,0,119.9633333,41.2854107,0,387.7707155,171.9893035,0
2049,6068560000000,0,0,8590049301,5669.705838,245.0088571,0,617.8257912,240.6210357,0,922,96,0,122.8099032,44.74248212,0,404.5733123,179.4796249,0
